title,url,page,text,Category,Rank,Hide,isFree,isTopRated,verified,premium,imgUrl,logoUrl
Stan,"https://mc-stan.org/#:~:text=Stan%20is%20a%20state%2Dof,and%20high%2Dperformance%20statistical%20computation.",Stan,"Stan is a state-of-the-art platform for statistical modeling and high-performance statistical computation. Many thousands of users rely on Stan for statistical modeling, data analysis, and prediction in the social, biological, and physical sciences, engineering, and business.",Probabilistic Programming,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
TensorFlow Probability,https://www.tensorflow.org/probability,TensorFlow Probability,"TensorFlow Probability (TFP) is a Python library built on TensorFlow that makes it easy to combine probabilistic models and deep learning on modern hardware (TPU, GPU). It's for data scientists, statisticians, ML researchers, and practitioners who want to encode domain knowledge to understand data and make predictions.",Probabilistic Programming,,,,,,,,https://www.gstatic.com/devrel-devsite/prod/v6f23042ee535b54d461e0cc5c1cc12493e4d0aea4f2d54a7a63063da7859ead0/tensorflow/images/lockup.svg
PyStan,https://mc-stan.org/users/interfaces/pystan,pystan,"PyStan provides a Python interface to Stan, a package for Bayesian inference using the No-U-Turn sampler, a variant of Hamiltonian Monte Carlo.",Probabilistic Programming; Probabilistics & Statistics,340,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Emcee,https://emcee.readthedocs.io/en/stable/,Emcee,emcee is an MIT licensed pure-Python implementation of Goodman & Weare’s Affine Invariant Markov chain Monte Carlo (MCMC) Ensemble sampler and these pages will show you how to use it.,Probabilistic Programming; Probabilistics & Statistics,1500,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
ZhuSuan,https://zhusuan.readthedocs.io/en/latest/,ZhuSuan,"ZhuSuan is a python probabilistic programming library for Bayesian deep learning, which conjoins the complimentary advantages of Bayesian methods and deep learning. ZhuSuan is built upon Tensorflow. ",Probabilistic Programming; Probabilistics & Statistics,2200,,,,,,,https://zhusuan.readthedocs.io/en/latest/_static/zhusuan-logo-v.svg
Librosa,https://librosa.org/doc/latest/index.html,Librosa,librosa is a python package for music and audio analysis. It provides the building blocks necessary to create music information retrieval systems.,Audio Processing,7300,,,,,,,https://librosa.org/doc/latest/_static/librosa_logo_text.svg
PyAudio,https://pypi.org/project/PyAudio/,PyAudio,"PyAudio provides Python bindings for PortAudio v19, the cross-platform audio I/O library. With PyAudio, you can easily use Python to play and record audio on a variety of platforms, such as GNU/Linux, Microsoft Windows, and Apple macOS.",Audio Processing,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
SoundFile,https://python-soundfile.readthedocs.io/en/0.11.0/,SoundFile,"The soundfile module is an audio library based on libsndfile, CFFI and NumPy",Audio Processing,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
AudioSet,https://pypi.org/project/audioset-download/,AudioSet,Large-scale dataset containing audio events used extensively in audio classification tasks,Audio Processing,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
python_speech_features,https://python-speech-features.readthedocs.io/en/latest/,python_speech_features,Provides functions needed to extract features from audio signals such as MFCCs,Audio Processing,2400,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
SpeechRecognition ,https://realpython.com/python-speech-recognition/,SpeechRecognition ,The SpeechRecognition library acts as a wrapper for several popular speech APIs and is thus extremely flexible.,Audio Processing,8500,,,,,,,"https://realpython.com/cdn-cgi/image/width=960,format=auto/https://files.realpython.com/media/The-Ultimate-Guide-To-Speech-Recognition-With-Python_Watermarked.c0511baf27ba.jpg"
PyDub ,https://pydub.com/,PyDub ,"Simple audio manipulation capabilities including cutting, concatenating, or exporting different formats ",Audio Processing,9100,,,,,,,http://github.com/images/modules/download/zip.png
Kaldi ,https://kaldi-asr.org/,Kaldi ,Toolkit providing speech recognition capabilities through various features like GMM-HMM based systems,Audio Processing,,,,,,,,https://kaldi-asr.org/kaldi_text_and_logo.png
LIME ,https://lime-ml.readthedocs.io/en/latest/,LIME ,Local Interpretable Model-Agnostic Explanations enabling users to interpret black-box models easily,Explainable AI; Model Interpretability,12000,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Captum ,https://captum.ai/,Captum ,Library providing model interpretability capabilities within PyTorch frameworks easily,Explainable AI; Model Interpretability,5000,,,,,,,https://github.com/pytorch/captum/raw/master/website/static/img/captum_logo.png
InterpretML ,https://interpret.ml/,InterpretML ,"Model interpretability helps developers, data scientists and business stakeholders in the organization gain a comprehensive understanding of their machine learning models. It can also be used to debug models, explain predictions and enable auditing to meet compliance with regulatory requirements.",Explainable AI; Model Interpretability,6300,,,,,,,https://interpret.ml/images/nav-logo.png
Alibi ,https://docs.seldon.io/projects/alibi/en/latest/,Alibi ,"Alibi Explain is an open source Python library aimed at machine learning model inspection and interpretation. The focus of the library is to provide high-quality implementations of black-box, white-box, local and global explanation methods for classification and regression models.",Explainable AI; Model Interpretability,2400,,,,,,,https://docs.seldon.io/projects/alibi/en/latest/_images/Alibi_Explain_Logo_rgb.png
Skope-rules,https://skope-rules.readthedocs.io/,Skope-rules,"Skope-rules aims at learning logical, interpretable rules for ""scoping"" a target class, ie detecting with high precision instances of this class.",Explainable AI; Sklearn Utilities,630,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
AIX360 ,https://aix360.readthedocs.io/en/latest/,AIX360 ,The AI Explainbability 360 toolkit is an open-source library that supports interpretability and explainability of data and machine learning models. The AI Explainability 360 Python package includes a comprehensive set of algorithms that cover different dimensions of explanations along with proxy explainability metrics.,Explainable AI,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Aequitas ,https://pypi.org/project/aequitas/,Aequitas ,"aequitas is an open-source bias auditing and Fair ML toolkit for data scientists, machine learning researchers, and policymakers.",Explainable AI; Model Interpretability,700,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
PydanticAI,https://ai.pydantic.dev/,pydanticai,PydanticAI is a Python Agent Framework designed to make it less painful to build production grade applications with Generative AI.,Generative AI; LLM,,,,,,,,https://ai.pydantic.dev/img/pydantic-ai-light.svg#only-light
aisuite,https://github.com/andrewyng/aisuite,aisuite,"aisuite makes it easy for developers to use multiple LLM through a standardized interface. Using an interface similar to OpenAI's, aisuite makes it easy to interact with the most popular LLMs and compare the results. It is a thin wrapper around python client libraries, and allows creators to seamlessly swap out and test responses from different LLM providers without changing their code.",LLM; Machine Learning,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
OmniXAI,https://github.com/salesforce/OmniXAI,OmniXAI,"OmniXAI (short for Omni eXplainable AI) is a Python machine-learning library for explainable AI (XAI), offering omni-way explainable AI and interpretable machine learning capabilities to address many pain points in explaining decisions made by machine learning models in practice. OmniXAI aims to be a one-stop comprehensive library that makes explainable AI easy for data scientists, ML researchers and practitioners who need explanation for various types of data, models and explanation methods at different stages of ML process",Explainable AI; Machine Learning Frameworks,,Explainable AI; Machine Learning,Explainable AI; Machine Learning,Explainable AI; Machine Learning,Explainable AI; Machine Learning,Explainable AI; Machine Learning,Explainable AI; Machine Learning,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
iml,https://github.com/interpretable-ml/iml,iml,"The iml library provides tools for interpretable machine learning, including interfaces for SHAP and LIME, facilitating model interpretation.",Explainable AI; Machine Learning Frameworks,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
interpret-text,https://github.com/interpretml/interpret-text,interpret-text,"Interpret-Text builds on Interpret, an open source python package for training interpretable models and helping to explain blackbox machine learning systems. We have added extensions to support text models.",Explainable AI; Machine Learning Frameworks; Model Interpretability,420,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
BreakDown,https://pypi.org/project/breakdown/,BreakDown,Breakdown is a lightweight python webserver that parses jinja2 templates. It’s intended to be used by designers for doing rapid prototyping.,Explainable AI; Machine Learning Frameworks,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
XAI,https://ethical.institute/principles.html#commitment-3,XAI,"XAI is a Machine Learning library that is designed with AI explainability in its core. XAI contains various tools that enable for analysis and evaluation of data and models. The XAI library is maintained by The Institute for Ethical AI & ML, and it was developed based on the 8 principles for Responsible Machine Learning.",Explainable AI; Machine Learning Frameworks; Model Interpretability,1100,,,,,,,https://ethical.institute/images/logos/eml-logo-white.png
Anchors,https://github.com/marcotcr/anchor,Anchors,"This repository has code for the paper High-Precision Model-Agnostic Explanations.
An anchor explanation is a rule that sufficiently “anchors” the prediction locally – such that changes to the rest of the feature values of the instance do not matter. In other words, for instances on which the anchor holds, the prediction is (almost) always the same.",Explainable AI; Machine Learning Frameworks,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Shapash,https://shapash.readthedocs.io/en/latest/,Shapash,"Shapash is a Python library designed to make machine learning interpretable and accessible to everyone. It offers various visualization types with clear and explicit labels that are easy to understand. This enables Data Scientists to better comprehend their models and share their findings, while end users can grasp the decisions made by a model through a summary of the most influential factors. Shapash was developed by MAIF Data Scientists.",Explainable AI; Machine Learning Frameworks; Model Interpretability,2800,,,,,,,https://shapash.readthedocs.io/en/latest/_images/shapash-resize.png
PandasAI,https://docs.pandas-ai.com/intro,pandasai,"PandasAI is a Python library that makes it easy to ask questions to your data in natural language. Beyond querying, PandasAI offers functionalities to visualize data through graphs, cleanse datasets by addressing missing values, and enhance data quality through feature generation, making it a comprehensive tool for data scientists and analysts.",Natural Language Processing; Data Manipulation; Data Analysis; Machine Learning Frameworks,,,,,,,,https://github.com/Sinaptik-AI/pandas-ai/blob/main/assets/logo.png?raw=true
BAML,https://github.com/BoundaryML/baml,baml,"BAML is a domain-specific language to write and test LLM functions.
An LLM function is a prompt template with some defined input variables, and a specific output type like a class, enum, union, optional string, etc.
BAML LLM functions plug into python, TS, and other languages, which makes it easy to focus more on engineering and less on prompting.",LLM,,,,,,,,https://tryolabs.imgix.net/assets/blog/top-python-libraries-2024/Python%20Lib%20-%20Baml%20logo-ca73355f2c.png?auto=format&fit=max&w=3840
marimo,https://marimo.io/,marimo,"marimo is a reactive Python notebook: run a cell or interact with a UI element, and marimo automatically runs dependent cells (or marks them as stale), keeping code and outputs consistent. marimo notebooks are stored as pure Python, executable as scripts, and deployable as apps.",Machine Learning Frameworks; Data Analysis,,,,,,,,https://marimo.io/logotype-wide.svg
OpenHands ,https://www.all-hands.dev/,openhands,"OpenHands is a platform for software development agents powered by AI.
OpenHands agents can do anything a human developer can: modify code, run commands, browse the web, call APIs, and yes—even copy code snippets from StackOverflow.",AI Agents,,,,,,,,https://github.com/All-Hands-AI/OpenHands/raw/main/docs/static/img/logo.png
Crawl4AI,https://crawl4ai.com/mkdocs/,Crawl4AI,"Crawl4AI is the #1 trending GitHub repository, actively maintained by a vibrant community. It delivers blazing-fast, AI-ready web crawling tailored for LLMs, AI agents, and data pipelines. Open source, flexible, and built for real-time performance, Crawl4AI empowers developers with unmatched speed, precision, and deployment ease.",Web Scraping,,,,,,,,https://tryolabs.imgix.net/assets/blog/top-python-libraries-2024/Python%20Lib%20-%20Crawl4ai-99068eb699.png?auto=format&fit=max&w=3840
LitServe ,https://lightning.ai/docs/litserve/home,LitServe ,"Flexible, high-throughput serving engine for AI models.
LitServe is a flexible serving engine for AI models built on FastAPI. Features like batching, streaming, and GPU autoscaling eliminate the need to rebuild a FastAPI server per model.",LLM; Machine Learning,,,,,,,,https://pl-bolts-doc-images.s3.us-east-2.amazonaws.com/app-2/litserve-dark.svg
Mirascope,https://mirascope.com/,Mirascope,"Mirascope is a powerful, flexible, and user-friendly library that simplifies the process of working with LLMs through a unified interface that works across various supported providers, including OpenAI, Anthropic, Mistral, Gemini, Groq, Cohere, LiteLLM, Azure AI, Vertex AI, and Bedrock.",LLM,,,,,,,,https://mirascope.com/assets/brandmark.svg
Docling,https://github.com/DS4SD/docling,docling,"Docling, an open-source marvel from IBM, streamlines the often-daunting process of parsing and extracting data from an array of document formats. Whether you’re working with PDFs, DOCX files, Excel spreadsheets, or Markdown, Docling’s robust parsing engine turns messy, unstructured files into clean, machine-readable formats.",Data Processing; Generative AI,,,,,,,,https://tryolabs.imgix.net/assets/blog/top-python-libraries-2024/Python%20Lib%20-%20Docling-c83e0def7c.png?auto=format&fit=max&w=3840
Surya,https://www.datalab.to/,surya,"Surya focuses on mastery in document OCR and text recognition, offering unparalleled performance in over 90 languages. Named after the Hindu sun god for its ""universal vision"", Surya excels at extracting text from scanned images, PDFs, and other visual formats with precision that rivals commercial solutions like Google Cloud Vision.",Data Processing,,,,,,,,https://www.datalab.to/static/images/datalab_hero2.webp
DataChain,https://docs.datachain.ai/,datachain,"DataChain is a Python-based AI-data warehouse for transforming and analyzing unstructured data like images, audio, videos, text and PDFs. It integrates with external storage (e.g. S3, GCP, Azure, HuggingFace) to process data efficiently without data duplication and manages metadata in an internal database for easy and efficient querying.",Data Management; Data Processing,,,,,,,,https://docs.datachain.ai/assets/datachain.svg
Narwhals,https://narwhals-dev.github.io/narwhals/,narwhals,Extremely lightweight and extensible compatibility layer between dataframe libraries.,Data Science,,,,,,,,https://narwhals-dev.github.io/narwhals/assets/image.png
pytorch-lightning,https://lightning.ai/,pytorch-lightning,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",Machine Learning Frameworks,29000,,,,,,,https://lightning.ai/static/media/logo-with-text-dark.bdcfdf86bccb9812ed1d3ec873e9e771.svg
PyFlink,https://github.com/apache/flink,PyFlink,Apache Flink is an open source stream processing framework with powerful stream- and batch-processing capabilities.,Machine Learning Frameworks,24000,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Flax,https://flax.readthedocs.io/,Flax,Flax is a neural network library for JAX that is designed for flexibility.,Machine Learning Frameworks,6200,,,,,,,https://raw.githubusercontent.com/google/flax/main/images/flax_logo_250px.png
Jina,https://jina.ai/serve,Jina,Build multimodal AI applications with cloud-native stack.,Machine Learning Frameworks,21000,,,,,,,https://jina.ai/serve/_static/logo-light.svg
einops,https://einops.rocks/,einops,Flexible and powerful tensor operations for readable and reliable code..,Machine Learning Frameworks,8600,,,,,,,https://github.com/arogozhnikov/einops/actions/workflows/run_tests.yml/badge.svg
Ignite,https://pytorch-ignite.ai/,Ignite,High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.,Machine Learning Frameworks,4600,,,,,,,https://github.com/pytorch/ignite/raw/master/assets/logo/ignite_logo_mixed.svg
mlpack,https://www.mlpack.org/,mlpack,"mlpack: a fast, header-only C++ machine learning library.",Machine Learning Frameworks,5200,,,,,,,https://www.mlpack.org/img/mlpack-logo.svg
Thinc,https://thinc.ai/,Thinc,"Thinc is a lightweight deep learning library that offers an elegant, type-checked, functional-programming API for composing models, with support for layers defined in other frameworks such as PyTorch, TensorFlow and MXNet.",Machine Learning Frameworks,2800,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Ludwig,https://ludwig.ai/,Ludwig,Ludwig is a low-code framework for building custom AI models like LLMs and other deep neural networks.,Machine Learning Frameworks,11000,,,,,,,https://github.com/ludwig-ai/ludwig-docs/raw/master/docs/images/ludwig_hero_smaller.jpg
Haiku,https://dm-haiku.readthedocs.io/,Haiku,JAX-based neural network library.,Machine Learning Frameworks,2900,,,,,,,https://github.com/deepmind/dm-haiku/workflows/pytest/badge.svg
skorch,https://github.com/skorch-dev/skorch,skorch,A scikit-learn compatible neural network library that wraps PyTorch,Machine Learning Frameworks,5900,,,,,,,https://github.com/skorch-dev/skorch/raw/master/assets/skorch_bordered.svg
tensorflow-upstream,https://tensorflow.org/,tensorflow-upstream,TensorFlow ROCm port,Machine Learning Frameworks,690,,,,,,,https://www.gstatic.com/devrel-devsite/prod/v2c0608cfe9941cacf4435921a2ece588be3719df069d9fba67130a84e4743128/tensorflow/images/lockup.svg
Determined,https://determined.ai/,Determined,"Determined is an open-source machine learning platform that simplifies distributed training, hyperparameter tuning, experiment tracking, and resource management. Works with PyTorch and TensorFlow.",Machine Learning Frameworks,3100,,,,,,,https://www.determined.ai/assets/images/R4_Logo-Reversed.svg
Geomstats,https://geomstats.ai/,Geomstats,Computations and statistics on manifolds with geometric structures.,Machine Learning Frameworks,1300,,,,,,,https://github.com/geomstats/geomstats/raw/main/logo.png
NuPIC,https://numenta.org/,NuPIC,"Numenta Platform for Intelligent Computing is an implementation of Hierarchical Temporal Memory (HTM), a theory of intelligence based strictly on the neuroscience of the neocortex.",Machine Learning Frameworks,6300,,,,,,,https://b2928487.smushcdn.com/2928487/wp-content/uploads/2022/10/Homepage-brain-1024x812.png?lossy=1&strip=1&webp=1
Neural Network Libraries,https://nnabla.org/,Neural Network Libraries,Neural Network Libraries.,Machine Learning Frameworks,2700,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
ktrain,https://github.com/amaiya/ktrain,ktrain,ktrain is a Python library that makes deep learning and AI more accessible and easier to apply,Machine Learning Frameworks,1200,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
pyRiemann,https://pyriemann.readthedocs.io/,pyRiemann,Machine learning for multivariate data through the Riemannian geometry of positive definite matrices in Python,Machine Learning Frameworks,650,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Towhee,https://towhee.io/,Towhee,Towhee is a framework that is dedicated to making neural data processing pipelines simple and fast.,Machine Learning Frameworks,3300,,,,,,,https://github.com/towhee-io/towhee/raw/main/towhee_logo.png#gh-light-mode-only
Neural Tangents,https://iclr.cc/virtual_2020/poster_SklD9yrFPS.html,Neural Tangents,Fast and Easy Infinite Neural Networks in Python.,Machine Learning Frameworks,2300,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
fklearn,https://github.com/nubank/fklearn,fklearn,fklearn: Functional Machine Learning.,Machine Learning Frameworks,1500,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Runhouse,https://run.house/,Runhouse,"Dispatch and distribute your ML training to ""serverless"" clusters in Python, like PyTorch for ML infra. Iterable, debuggable, multi-cloud/on-prem, identical across research and production.",Machine Learning Frameworks,990,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
ThunderSVM,https://github.com/Xtra-Computing/thundersvm,ThunderSVM,ThunderSVM: A Fast SVM Library on GPUs and CPUs.,Machine Learning Frameworks,1600,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
mace,https://github.com/XiaoMi/mace,mace,MACE is a deep learning inference framework optimized for mobile heterogeneous computing platforms.,Machine Learning Frameworks,5000,,,,,,,https://github.com/XiaoMi/mace/raw/master/docs/mace-logo.png
Objax,https://github.com/google/objax,Objax,Objax is an open source machine learning framework that accelerates research and learning thanks to a minimalist object-oriented design and a readable code base. I,Machine Learning Frameworks,770,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
chefboost,https://github.com/serengil/chefboost,chefboost,"A Lightweight Decision Tree Framework supporting regular algorithms: ID3, C4.5, CART, CHAID and Regression Trees; some advanced techniques: Gradient Boosting, Random Forest and Adaboost w/categorical features support for Python",Machine Learning Frameworks,460,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
NeoML,https://www.abbyy.com/neoml/,NeoML,"NeoML is an end-to-end machine learning framework that allows you to build, train, and deploy ML models. This framework is used by ABBYY engineers for computer vision and natural language processing tasks, including image preprocessing, classification, document layout analysis, OCR, and data extraction from structured and unstructured documents.",Machine Learning Frameworks,770,,,,,,,https://github.com/neoml-lib/neoml/raw/master/NeoML/docs/images/NeoML_logo.png
ThunderGBM,https://github.com/Xtra-Computing/thundergbm,ThunderGBM,ThunderGBM: Fast GBDTs and Random Forests on GPUs.,Machine Learning Frameworks,700,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Altair,https://altair-viz.github.io/,Altair,Declarative visualization library for Python.,Data Visualization,9500,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
pyecharts,https://pyecharts.org/,pyecharts,Python Echarts Plotting Library.,Data Visualization,15000,,,,,,,https://user-images.githubusercontent.com/19553554/71825144-2d568180-30d6-11ea-8ee0-63c849cfd934.png
PyVista,https://docs.pyvista.org/,PyVista,3D plotting and mesh analysis through a streamlined interface for the Visualization Toolkit (VTK),Data Visualization,2800,,,,,,,https://github.com/pyvista/pyvista/raw/main/doc/source/_static/pyvista_banner_small.png
pandas-profiling,https://docs.profiling.ydata.ai/,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,Data Visualization,13000,,,,,,,https://github.com/ydataai/pandas-profiling/actions/workflows/tests.yml/badge.svg?branch=master
FiftyOne,https://fiftyone.ai/,FiftyOne,"Visualize, create, and debug image and video datasets.",Data Visualization,9000,,,,,,,https://user-images.githubusercontent.com/25985824/106288517-2422e000-6216-11eb-871d-26ad2e7b1e59.png
HoloViews,https://holoviews.org/,HoloViews,"With Holoviews, your data visualizes itself.",Data Visualization,2700,,,,,,,https://holoviews.org/_static/logo_horizontal.png
plotnine,https://plotnine.org/,plotnine,A Grammar of Graphics for Python.,Data Visualization,4100,,,,,,,https://github.com/has2k1/plotnine/raw/logos/doc/images/logo-512.png?raw=true
PyQtGraph,https://www.pyqtgraph.org/,PyQtGraph,Fast data visualization and GUI tools for scientific / engineering.,Data Visualization,3900,,,,,,,https://www.pyqtgraph.org/images/plotting_sm.png
Graphviz,https://graphviz.readthedocs.io/,Graphviz,Simple Python interface for Graphviz.,Data Visualization,1700,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
cartopy,https://scitools.org.uk/cartopy/docs/latest,cartopy,Cartopy - a cartographic python library with matplotlib support.,Data Visualization,1400,,,,,,,https://scitools.org.uk/cartopy/docs/latest/_static/cartopy.png
Perspective,https://perspective.finos.org/,Perspective,A data visualization and analytics component.,Data Visualization,8700,,,,,,,https://github.com/finos/perspective/raw/master/docs/static/svg/perspective-logo-light.svg?raw=true
UMAP,https://github.com/lmcinnes/umap,UMAP,Uniform Manifold Approximation and Projection.,Data Visualization,7500,,,,,,,https://github.com/lmcinnes/umap/raw/master/doc/logo_large.png
wordcloud,https://amueller.github.io/word_cloud,wordcloud,A little word cloud generator in Python.,Data Visualization,10000,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
VisPy,https://vispy.org/,VisPy,High-performance interactive 2D/3D data visualization library.,Data Visualization,3300,,,,,,,https://github.com/vispy/vispy/workflows/CI/badge.svg
datashader,https://datashader.org/,datashader,Quickly and accurately render even the largest data.,Data Visualization,3300,,,,,,,https://github.com/holoviz/datashader/raw/main/doc/_static/logo_horizontal.svg
lets-plot,https://lets-plot.org/,lets-plot,Multiplatform plotting library based on the Grammar of Graphics,Data Visualization,1600,,,,,,,https://lets-plot.org/_static/logo-light.svg
hvPlot,https://hvplot.holoviz.org/,hvPlot,"A high-level plotting API for pandas, dask, xarray, and networkx.",Data Visualization,1200,,,,,,,https://github.com/holoviz/hvplot/raw/main/doc/_static/logo.png?raw=true
D-Tale,https://alphatechadmin.pythonanywhere.com/,D-Tale,Visualizer for pandas data structures,Data Visualization,4800,,,,,,,https://raw.githubusercontent.com/aschonfeld/dtale-media/master/images/Title.png
mpld3,https://mpld3.github.io/,mpld3,An interactive data visualization tool which brings matplotlib graphics to the browser using D3.,Data Visualization,2400,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
bqplot,https://bqplot.github.io/bqplot,bqplot,Plotting library for IPython/Jupyter notebooks.,Data Visualization,3600,,,,,,,https://raw.githubusercontent.com/bqplot/design/master/bqplot-logo-dark-nobackground.svg
openTSNE,https://opentsne.rtfd.io/,openTSNE,"Extensible, parallel implementations of t-SNE.",Data Visualization,1500,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Chartify,https://github.com/spotify/chartify,Chartify,Python library that makes it easy for data scientists to create charts.,Data Visualization,3600,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
data-validation,https://github.com/tensorflow/data-validation,data-validation,Library for exploring and validating machine learning data,Data Visualization,770,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
HyperTools,https://hypertools.readthedocs.io/en/latest/,HyperTools,A Python toolbox for gaining geometric insights into high-dimensional data,Data Visualization,1800,,,,,,,https://github.com/ContextLab/hypertools/raw/master/images/hypercube.png
AutoViz,https://github.com/AutoViML/AutoViz,AutoViz,"Automatically Visualize any dataset, any size with a single line of code. Created by Ram Seshadri. Collaborators Welcome. Permission Granted upon Request.",Data Visualization,1800,,,,,,,https://github.com/AutoViML/AutoViz/raw/master/images/logo.png
Plotly-Resampler,https://predict-idlab.github.io/plotly-resampler/latest,Plotly-Resampler,Visualize large time series data with plotly.py,Data Visualization,1100,,,,,,,https://raw.githubusercontent.com/predict-idlab/plotly-resampler/main/mkdocs/static/logo.svg
python-ternary,https://github.com/marcharper/python-ternary,python-ternary,Ternary plotting library for python with matplotlib,Data Visualization,740,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
vega,https://github.com/vega/ipyvega,vega,IPython/Jupyter notebook module for Vega and Vega-Lite.,Data Visualization,380,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Multicore-TSNE,https://github.com/DmitryUlyanov/Multicore-TSNE,Multicore-TSNE,Parallel t-SNE implementation with Python and Torch wrappers.,Data Visualization,1900,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
vegafusion,https://vegafusion.io/,vegafusion,Serverside scaling for Vega and Altair visualizations.,Data Visualization,340,,,,,,,https://user-images.githubusercontent.com/15064365/213880031-eca5ab61-3d97-474f-a0e6-3662dbc9887f.svg#gh-dark-mode-only
PyWaffle,https://github.com/gyli/PyWaffle,PyWaffle,Make Waffle Charts in Python.,Data Visualization,590,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
